event,barcode,charge,pT,d0
0,725,1,45573.5,0.00609022
1,409,-1,25119.9,-0.00893239
2,394,1,111644,-0.00298071
3,238,-1,32994.2,0.00314481
4,99,1,2716.53,0.00902423
5,214,1,39686.2,-0.0204359
6,1005,-1,3184.38,0.00811174
7,784,-1,13725.4,-0.012556
8,242,1,956.258,0.0296877
9,781,-1,65867.5,-0.00704149
10,585,1,19945.8,-0.00272643
11,799,-1,838.843,-0.0157657
