event,barcode,charge,pt,d0
185,10001,-1,14235.7,-30.1924
186,10001,1,37216.9,20.1269
187,10001,-1,6794.87,68.9341
188,10001,-1,6317.76,61.3888
189,10001,-1,10059,-126.328
190,10001,1,11793.3,-136.925
191,10001,1,12951,-106.779
192,10001,-1,20649.9,223.54
193,10001,1,10853.5,-22.8259
194,10001,1,36573.1,179.449
195,10001,-1,7032.95,-179.666
196,10001,1,5202.05,-25.8561
197,10001,-1,7856.07,-34.5932
198,10001,1,53616.4,-225.035
199,10001,1,31551.8,-51.5646
200,10001,1,31428.8,78.7809
201,10001,1,25155.1,9.97539
202,10001,1,5820.38,-85.062
203,10001,1,6284.42,-290.096
204,10001,-1,14860.2,15.7705
205,10001,1,13123.6,98.6846
206,10001,-1,78539.7,-188.61
207,10001,-1,5091.17,188.479
208,10001,-1,7502.3,141.154
209,10001,1,6687.47,287.354
210,10001,1,5331.49,292.96
211,10001,-1,8354.6,-271.063
212,10001,-1,11792.2,129.719
213,10001,1,27152.2,173.015
214,10001,-1,6482.99,290.683
215,10001,1,7405.38,-216.071
216,10001,1,8336.91,-13.1829
217,10001,1,5463.33,2.77571
218,10001,1,6783.44,288.079
219,10001,1,6334.84,-244.779
220,10001,-1,6620.81,-191.982
221,10001,1,45820.7,-185.247
222,10001,1,5335.92,-229.854
223,10001,1,11284.5,115.16
224,10001,-1,10080,281.764
225,10001,-1,9560.92,201.049
226,10001,1,5845.93,264.742
227,10001,1,6261.87,-251.813
228,10001,-1,24196.2,171.509
229,10001,1,22371.7,-35.2771
230,10001,1,5818.22,8.62619
231,10001,-1,32527.4,-214.717
232,10001,1,8070.64,-253.391
233,10001,-1,87002.2,51.8739
234,10001,1,28366.3,-229.212
235,10001,-1,5379.63,160.621
236,10001,-1,9211.94,-203.118
237,10001,1,8168.75,-63.5648
238,10001,1,15396,-236.743
239,10001,-1,8245.77,-251.646
240,10001,1,6785.74,-57.2617
241,10001,1,5589.36,-96.8044
242,10001,1,10850.3,96.1339
243,10001,-1,5031.78,142.087
244,10001,1,8441.7,-299.008
245,10001,-1,7040.24,-85.7334
246,10001,1,6270.29,-263.592
247,10001,1,11560.5,46.6214
248,10001,1,6030.36,209.564
249,10001,-1,81303.6,103.291
250,10001,-1,8673.17,231.918
251,10001,1,11729.1,161.717
252,10001,-1,7870.32,79.1409
253,10001,1,14660.1,-276.207
254,10001,1,7405.9,-57.681
255,10001,1,5054.18,-149.102
256,10001,1,5414.4,-205.474
257,10001,-1,7931.72,265.71
258,10001,-1,6377.28,41.7206
259,10001,1,7797.44,-204.099
260,10001,1,11866.3,-109.015
261,10001,1,8942.27,296.696
262,10001,1,5419.6,-8.79023
263,10001,-1,71799.6,-296.258
264,10001,-1,17334.1,-287.786
265,10001,1,9861.39,89.9775
266,10001,1,25946.2,265.691
267,10001,1,9111.89,165.718
268,10001,-1,5849.49,-124.978
269,10001,1,40721.9,-90.1664
270,10001,-1,5315.56,84.9412
271,10001,-1,42059.1,-280.979
272,10001,-1,13477.3,48.3372
273,10001,-1,6344.5,80.8199
274,10001,1,6587.9,92.6582
275,10001,-1,7251.77,118.259
276,10001,1,32944.1,-38.4423
277,10001,1,5996.48,-234.398
278,10001,1,7712.48,73.9325
279,10001,-1,7099.57,267.482
280,10001,-1,13478,-91.2781
281,10001,-1,147128,158.151
282,10001,1,6566.22,-129.889
283,10001,1,24425.2,-204.789
284,10001,1,5083.48,-239.834
